1	i didnt feel humiliated	4
2	i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake	4
3	im grabbing a minute to post i feel greedy wrong	0
4	i am ever feeling nostalgic about the fireplace i will know that it is still on the property	3
5	i am feeling grouchy	0
6	ive been feeling a little burdened lately wasnt sure why that was	4
7	ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny	5
8	i feel as confused about life as a teenager or as jaded as a year old man	1
9	i have been with petronas for years i feel that petronas has performed well and made a huge profit	2
10	i feel romantic too	3
11	i feel like i have to make the suffering i m seeing mean something	4
12	i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter	2
13	i think it s the easiest time of year to feel dissatisfied	0
14	i feel low energy i m just thirsty	4
15	i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious	2
16	i do not feel reassured anxiety is on each side	2
17	i didnt really feel that embarrassed	4
18	i feel pretty pathetic most of the time	4
19	i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties	4
20	i now feel compromised and skeptical of the value of every unit of work i put in	1
21	i feel irritated and rejected without anyone doing anything or saying anything	0
22	i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for	1
23	i have the feeling she was amused and delighted	2
24	i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me	2
25	i already feel like i fucked up though because i dont usually eat at all in the morning	0
26	i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed	4
27	i feel so inhibited in someone elses kitchen like im painting on someone elses picture	4
28	i become overwhelmed and feel defeated	4
29	i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp	0
30	i feel more superior dead chicken or grieving child	2
31	i get giddy over feeling elegant in a perfectly fitted pencil skirt	2
32	i remember feeling acutely distressed for a few days	1
33	i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies	5
34	i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day	0
35	i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently	2
36	i am not sure what would make me feel content if anything	2
37	i have been feeling the need to be creative	2
38	i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them	2
39	i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed	0
40	i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words	2
41	i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired	2
42	i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book	2
43	ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect	2
44	i feel very strongly passionate about when some jerk off decides to poke and make fun of us	2
45	i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way	4
46	i was feeling listless from the need of new things something different	4
47	i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special	2
